Tools Dev;Iron;26,00;1506;38,10;12,70;96;364;2;85;85;6352
Translate Dev;Iron;0,00;34;33,20;0,00;4;7;0;0;1;177
AddressValidation Dev;Platinium;83,90;119;34,50;0,00;0;22;0;1;6;624
SellerInformationPublishing Dev;Platinium;95,20;333;52,30;0,00;0;3;0;21;21;810
RatingsReviewsPublishing Dev;Platinium;82,60;296;43,20;4,30;0;6;0;54;54;982
StressZonePublishing Dev;Platinium;90,70;56;46,00;0,00;0;3;0;11;11;272
EanGenerator Dev;Iron;0,00;209;48,10;0,00;5;54;0;0;8;1022
Generix Dev;Iron;0,00;2114;39,00;2,70;33;541;0;0;0;6516
PriceR2 Dev;Iron;7,80;893;37,50;5,80;23;274;0;8;19;3564
Pricer Dev;Iron;2,00;3334;38,00;5,20;45;778;0;0;28;12856
ProductCatalog Dev;Iron;28,90;23585;38,10;8,00;495;5111;0;100;589;85814
ProductImport Dev;Iron;24,50;2730;33,90;1,80;105;820;1;0;24;12494
ProductIntegration Dev;Iron;8,90;8251;36,20;1,30;204;1839;0;51;63;34989
ProductR2 Dev;Iron;8,30;10450;31,60;5,60;164;2384;0;4;112;37077
ReferentialData Dev;Iron;0,00;816;40,50;14,20;8;101;0;0;1;3437
TaxManagement Dev;Iron;4,30;1264;42,60;1,20;11;266;0;0;31;4826
AssociatedProductsR2 Dev;Platinium;88,40;1023;46,60;0,00;6;52;0;56;60;3677
MarketingDescription Dev;Platinium;76,60;76;41,40;0,00;0;4;0;13;13;513
BusinessEventDispatcher Dev;Iron;0,00;719;28,60;3,40;26;192;0;0;0;3749
Offer Dev;Iron;17,20;7125;39,50;2,00;84;1402;0;121;121;27947
OfferIntegration Dev;Iron;24,70;5790;32,70;0,90;50;1015;0;271;271;26930
SearchMiddleOffice Dev;Iron;0,00;2433;45,30;1,70;24;588;0;0;14;6882
Supply Dev;Iron;25,30;4281;41,30;5,80;43;640;0;84;149;16100
Codification Dev;Iron;37,90;392;44,30;0,00;0;104;0;8;8;1499
ReferentialR2 Dev;Iron;23,50;4837;38,40;4,50;13;841;0;94;94;19883
Crawler Dev;Iron;0,00;1356;36,70;2,70;52;533;0;0;0;7373
Notifier Dev;Iron;0,00;396;42,70;0,00;0;110;0;0;25;2148
OrderCommission Dev;Iron;54,40;385;37,80;4,50;1;70;0;24;26;1574
